probability,exact_lognormal_quantile,exact_empirical_quantile_h_1_8,em_empirical_quantile_h_1_8,milstein_empirical_quantile_h_1_8
0.001,39.76950824373506,39.91587581144773,37.54385508150008,40.30175634406409
0.01,50.012142391522715,49.92819115717369,48.387390675685474,50.21342854895404
0.05,61.35729658972172,61.378458765978074,60.511649914547874,61.615226601839346
0.25,82.09057911161946,82.15089577390492,82.30326567203582,82.26260543025057
0.5,100.5012520859401,100.55660579050053,101.08819318022847,100.58249275922458
0.75,123.04093575838853,123.16386835292164,123.65334600831132,123.05706815404851
0.95,164.6177754274406,164.48499497112522,163.36979506680743,164.04302997281647
0.99,201.96098762915145,202.40191019918683,198.375724514294,201.5393534857414
0.999,253.97602627970198,256.9422406123576,247.08892764048525,255.78028923694933
