paths,mean,sample_sd,se,ci_low,ci_high,se_ratio_to_10000,constant_variance_ratio
10000,0.009044626747681006,0.5149236423168818,0.005149236423168818,-0.0010478766417298772,0.01913713013709189,1.0,1.0
40000,0.004941542441613525,0.5184403599802496,0.0025922017999012482,-0.0001391730861929211,0.010022257969419971,0.5034147952961963,0.5
100000,0.0017219137052835135,0.5164483624658674,0.0016331531192563542,-0.0014790664084589407,0.004922893819025968,0.3171641356198049,0.31622776601683794
